CLUSTERID1	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex	EdgeAnnotation
3623	6813	-0.058	3623	0.7416	3623.0	22	 
2009	3383	30.011	2009	0.8751	2009.0	22	CH2O
3243	4156	18.011	3243	0.8487	3243.0	22	H2O
3250	3623	-15.995	3250	0.7538	3250.0	22	O
2167	3896	0.036	2167	0.7527	2167.0	22	 
3415	3431	-18.011	3415	0.8806	3415.0	22	H2O
2177	5230	-0.001	2177	0.7245	2177.0	22	 
1387	1948	0.000	1387	0.9635	1387.0	22	 
3221	4156	36.022	3221	0.9137	3221.0	22	 
2340	2789	-167.080	2340	0.7997	2340.0	22	 
2782	3048	0.000	2782	0.9732	2782.0	22	 
3221	4159	18.011	3221	0.9677	3221.0	22	H2O
3456	4818	179.079	3456	0.8953	3456.0	22	 
2481	4475	18.010	2481	0.7471	2481.0	22	H2O
2151	2167	179.079	2151	0.8065	2151.0	22	 
3415	4821	-0.000	3415	0.9076	3415.0	22	 
3243	4159	0.000	3243	0.9738	3243.0	22	 
3048	3055	-35.037	3048	0.9581	3048.0	22	 
1883	2478	18.011	1883	0.7346	1883.0	22	H2O
2774	3048	18.010	2774	0.9624	2774.0	22	H2O
2340	2774	-18.010	2340	0.9078	2340.0	22	H2O
4407	6623	0.000	4407	0.9877	4407.0	22	 
4156	6623	-2.016	4156	0.8476	4156.0	22	H2
3619	5230	-0.000	3619	0.8178	3619.0	22	 
968	2009	18.011	968	0.8676	968.0	22	H2O
6623	6820	-13.979	6623	0.9104	6623.0	22	 
3415	4818	-18.011	3415	0.8488	3415.0	22	H2O
1317	1387	-30.010	1317	0.8084	1317.0	22	CH2O
